gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Cluster
1,0,0,0,38,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),57.36,2278.37,0,0
1,0,0,0,14,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),75.61,1028.52,1,0
1,0,0,0,32,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Mailed check,67.67,2183.8,0,2
0,0,0,1,60,1,No,Fiber optic,No,No,Yes,No,No,No,One year,0,Mailed check,112.88,6582.18,0,0
0,0,1,1,13,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Credit card (automatic),75.36,1021.8,0,0
1,0,1,0,46,0,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,26.37,1259.99,1,0
1,1,1,1,1,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,1,Mailed check,77.55,80.82,0,0
0,0,1,0,65,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,1,Bank transfer (automatic),43.71,2670.32,0,0
1,0,0,0,47,0,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,49.56,2250.81,1,2
0,0,0,0,63,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,60.99,4114.67,1,1
0,0,0,0,65,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),28.11,1743.94,1,1
1,0,1,0,47,1,Yes,DSL,No,No,No,Yes,No,No,Two year,0,Mailed check,20.41,991.47,0,2
0,0,0,0,17,1,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,35.54,616.41,1,0
0,0,1,0,50,1,Yes,DSL,No,No,No,No,Yes,No,Two year,0,Bank transfer (automatic),54.34,2794.72,0,2
0,0,1,0,3,0,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,0,Electronic check,80.24,264.08,0,0
1,0,0,0,32,0,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,44.06,1436.16,0,2
1,0,1,0,22,1,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,0,Electronic check,102.49,2408.07,0,2
0,0,0,1,52,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,0,Mailed check,75.22,4043.12,0,0
1,0,1,1,12,1,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,1,Mailed check,95.74,1100.54,0,0
0,0,1,0,70,0,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),75.72,4896.01,0,0
0,0,0,0,57,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),48.64,2687.66,0,1
1,0,1,0,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),49.87,2786.32,0,1
0,0,1,0,64,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,23.47,1570.02,1,2
0,1,1,0,41,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,1,Electronic check,67.5,2538.02,0,0
0,0,1,0,39,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.48,3700.2,0,0
0,0,1,1,20,1,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),106.79,2223.48,0,0
0,0,0,0,32,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,117.63,3702.73,0,0
0,0,0,1,69,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,23.67,1795.9,1,1
0,1,0,0,41,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Mailed check,92.52,3614.98,0,0
1,0,1,0,36,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,75.94,2978.23,0,0
1,0,0,0,71,1,Yes,DSL,Yes,No,No,No,No,No,Two year,1,Electronic check,48.21,3429.23,0,2
0,0,0,1,0,1,No,Fiber optic,No,Yes,No,No,Yes,No,One year,0,Electronic check,80.48,2022.05,0,0
1,0,0,0,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,23.08,564.65,0,1
0,1,0,0,38,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,111.22,3829.15,1,1
0,0,0,0,46,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,0,Electronic check,56.34,2836.2,0,0
0,0,0,0,55,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),67.42,3494.73,0,1
0,1,0,0,57,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,1,Electronic check,38.52,2173.79,0,0
1,0,1,1,27,1,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),87.17,2565.05,1,2
0,0,1,0,56,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),105.28,5903.96,0,1
0,0,0,1,70,1,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,1,Electronic check,54.62,4105.24,0,0
1,0,1,1,71,1,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Mailed check,77.74,5332.28,0,2
1,0,1,0,44,1,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,0,Bank transfer (automatic),98.74,4632.91,1,0
1,0,0,0,64,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,94.05,6559.15,0,0
1,0,1,1,3,1,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),97.63,294.87,0,2
1,1,1,1,60,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),91.64,5928.15,0,0
1,0,1,0,60,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),75.2,4383.73,0,1
0,0,1,0,42,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),112.02,5048.06,1,2
0,0,0,1,18,1,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,0,Electronic check,77.19,1325.55,0,0
1,0,0,1,0,1,Yes,DSL,No,Yes,No,No,Yes,No,One year,1,Mailed check,95.32,2022.05,0,2
1,0,0,0,18,1,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),52.4,894.17,0,0
0,0,1,0,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,38.47,1968.43,0,1
1,0,1,0,63,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,57.06,3751.6,1,1
1,0,1,0,62,1,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,88.87,5579.84,1,2
1,0,1,0,28,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.72,2176.85,1,2
0,0,0,0,18,1,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,35.73,696.32,0,0
1,0,1,1,42,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,32.93,1491.49,1,2
0,0,1,0,69,1,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,0,Mailed check,46.39,3148.12,1,2
0,0,1,1,38,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Mailed check,18.92,722.24,0,0
0,0,1,0,22,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),79.23,1653.19,1,0
1,1,0,1,0,0,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,1,Electronic check,110.58,2022.05,0,2
1,1,1,0,60,1,No,Fiber optic,No,No,No,No,No,No,One year,1,Bank transfer (automatic),35.06,2183.11,0,0
0,0,1,0,24,1,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,38.49,940.62,1,0
0,0,1,0,3,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,0,Credit card (automatic),84.08,272.86,0,2
1,0,1,0,0,1,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,1,Mailed check,63.37,2022.05,0,2
0,0,1,0,39,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,1,Mailed check,91.93,3927.95,0,0
1,0,0,0,20,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,1,Mailed check,41.75,848.87,0,0
0,1,0,0,42,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,31.88,1300.34,1,0
1,0,1,1,9,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),113.83,936.7,1,1
1,0,1,1,65,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),113.15,8042.68,0,0
0,1,0,1,16,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),102.75,1759.1,1,1
0,0,0,0,12,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,96.08,1156.72,1,0
1,0,1,0,9,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),53.63,506.89,0,2
0,0,1,0,51,1,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,0,Mailed check,29.52,1628.7,1,2
0,0,1,0,9,1,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,0,Electronic check,65.36,594.03,0,0
0,0,0,0,46,1,Yes,DSL,No,Yes,No,No,No,Yes,One year,0,Bank transfer (automatic),41.68,1894.56,0,2
1,0,0,0,8,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),42.24,308.72,0,0
0,0,0,0,45,0,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,0,Credit card (automatic),90.05,4250.45,0,0
0,0,1,0,67,1,Yes,DSL,No,No,Yes,No,No,No,Two year,0,Credit card (automatic),34.62,2391.55,0,2
0,0,0,1,53,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,96.85,5330.12,0,1
0,0,0,0,67,1,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,0,Electronic check,78.27,5345.24,0,0
1,0,1,0,3,0,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,50.49,147.83,1,2
0,1,0,0,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,29.36,2022.05,0,1
1,0,0,0,58,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),56.67,3417.08,1,0
1,0,1,0,24,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,100.93,2368.16,0,0
0,0,1,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),72.88,617.24,0,1
0,0,1,0,24,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,118.25,3111.77,0,1
1,0,0,0,70,1,No,DSL,No,No,Yes,Yes,No,No,Two year,0,Mailed check,84.44,5803.27,0,2
0,0,0,1,25,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,77.5,2129.37,0,1
0,0,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,0,Mailed check,29.08,1658.98,0,0
1,0,1,0,48,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,0,Electronic check,55.33,2593.81,0,0
0,0,0,1,64,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),90.69,6019.06,0,2
0,1,1,0,60,0,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,84.37,4904.77,1,0
0,0,1,0,8,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,0,Credit card (automatic),95.3,761.92,0,2
1,0,1,1,9,1,Yes,DSL,No,No,Yes,No,No,No,One year,1,Electronic check,106.49,1042.29,0,2
0,0,1,0,10,1,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,1,Mailed check,104.47,1020.84,1,2
1,0,0,0,35,1,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,0,Electronic check,29.33,1099.5,0,2
1,0,1,1,55,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),48.01,2405.75,1,1
1,0,1,0,31,1,No,DSL,Yes,No,No,No,Yes,No,Two year,1,Electronic check,111.74,3302.11,0,2
0,1,0,0,71,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),65.43,4540.67,0,2
0,0,0,0,34,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,76.63,2725.86,0,0
1,1,1,0,3,0,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,111.27,360.67,1,2
1,0,1,1,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,60.9,3716.66,0,1
0,0,1,0,62,1,No,Fiber optic,No,Yes,Yes,No,No,No,One year,0,Electronic check,111.7,7409.59,1,0
0,0,0,1,7,1,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,1,Mailed check,53.92,384.24,0,0
1,1,0,1,68,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.82,4072.83,0,0
0,0,0,0,60,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Electronic check,89.43,5838.02,1,2
1,0,1,1,62,1,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,118.45,7004.2,0,2
1,0,1,1,60,1,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,0,Bank transfer (automatic),54.09,3423.79,1,2
0,0,0,0,36,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,43.35,1453.61,1,1
0,0,1,0,3,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),72.06,233.7,0,2
0,0,0,1,55,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),57.62,3206.63,0,1
1,0,1,0,42,0,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Mailed check,99.31,4039.02,1,0
0,0,1,1,20,0,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,1,Credit card (automatic),84.69,1536.81,0,0
0,0,0,0,57,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,90.92,5180.71,1,1
1,0,1,0,15,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),58.54,965.06,1,0
1,0,0,0,52,1,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Electronic check,70.08,3281.4,1,2
0,0,0,0,17,1,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,1,Electronic check,35.82,621.28,1,0
0,0,0,1,56,1,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,0,Credit card (automatic),40.61,2058.65,1,2
1,0,1,1,37,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,76.51,2974.24,1,1
1,0,0,0,31,1,No,Fiber optic,Yes,No,No,No,Yes,No,One year,0,Credit card (automatic),64.4,1888.6,0,0
0,0,1,0,18,1,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,1,Mailed check,83.28,1387.16,1,0
0,0,1,0,47,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,107.15,4638.68,0,2
1,0,0,0,25,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),93.14,2447.99,0,1
0,0,0,1,44,1,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,0,Bank transfer (automatic),101.63,4038.67,0,2
1,0,0,0,44,1,No,DSL,No,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),106.31,4602.28,0,2
1,0,0,0,14,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,79.39,1085.74,0,1
0,0,0,0,17,1,No,DSL,Yes,No,No,No,Yes,No,One year,0,Electronic check,114.58,1971.41,0,2
0,0,0,0,30,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,100.21,3296.35,0,0
1,0,1,0,14,1,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),73.16,981.63,0,2
1,0,1,0,14,0,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),26.37,393.99,1,0
1,0,1,0,64,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),90.06,6285.49,0,1
0,0,0,0,45,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,88.17,3689.04,0,0
1,0,0,0,15,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,1,Electronic check,51.63,783.75,0,2
1,0,0,1,54,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,53.21,2723.1,1,1
1,0,0,0,29,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,0,Electronic check,88.86,2756.58,1,2
0,0,1,0,40,1,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,0,Mailed check,91.56,3816.11,0,0
1,0,1,0,66,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),79.85,5531.02,1,0
0,0,0,1,16,1,No,Fiber optic,No,No,No,No,No,Yes,One year,0,Credit card (automatic),41.47,691.67,0,0
0,0,0,0,25,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Mailed check,101.88,2763.52,0,0
1,0,1,0,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),114.76,8516.18,1,1
1,0,0,0,63,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),50.46,3422.34,0,1
1,0,0,1,57,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),112.18,6537.57,1,1
0,0,1,0,2,1,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,0,Bank transfer (automatic),47.79,91.63,0,2
1,0,0,0,27,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,36.57,927.98,1,0
0,0,1,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,60.59,175.48,0,1
0,0,1,1,39,1,Yes,DSL,No,No,No,No,Yes,No,One year,0,Credit card (automatic),61.82,2480.72,0,2
0,0,1,0,56,1,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),104.71,5497.55,0,2
0,0,0,0,64,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,78.73,5502.81,0,1
0,0,1,1,46,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Bank transfer (automatic),22.85,1132.98,0,0
0,1,1,1,33,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),53.45,1832.64,0,0
1,0,0,0,44,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,21.39,1031.24,1,0
1,0,1,0,31,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),25.82,745.42,0,0
0,0,0,1,43,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),84.92,3721.5,0,1
0,0,0,0,10,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),38.34,376.32,0,2
1,0,1,0,35,1,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,0,Electronic check,72.88,2632.24,0,2
1,0,1,0,12,1,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Electronic check,56.36,729.16,0,0
1,0,1,0,56,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,27.19,1518.57,0,2
1,1,0,0,24,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),109.97,2443.82,1,1
0,0,1,0,69,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),54.74,3523.42,1,0
1,0,1,0,36,1,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),110.74,4074.33,1,0
0,1,0,0,3,0,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),60.55,169.83,1,0
0,0,1,0,25,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,112.09,2661.06,0,2
1,0,0,0,12,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),73.38,902.67,1,0
1,1,0,0,71,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),70.19,4517.48,0,2
0,1,1,0,50,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Mailed check,57.53,3071.7,0,0
0,1,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),104.6,5225.41,0,1
0,0,1,1,32,0,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Mailed check,81.84,2673.59,1,0
0,0,0,0,41,1,No,DSL,No,No,No,No,No,No,Two year,0,Electronic check,23.12,992.44,0,2
1,0,1,1,30,1,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),100.93,2928.87,0,2
1,0,0,1,39,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,61.67,2500.07,0,1
1,0,1,0,15,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,0,Credit card (automatic),89.49,1283.95,0,0
1,0,1,0,55,1,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,1,Bank transfer (automatic),62.29,3220.9,0,0
1,0,1,0,35,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,1,Mailed check,80.22,3057.45,0,0
0,0,1,0,55,1,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,113.27,6686.4,0,2
0,0,1,0,47,1,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,72.44,3505.14,0,2
1,0,1,0,57,1,No,DSL,No,Yes,Yes,No,No,No,Two year,0,Mailed check,25.72,1391.53,0,2
1,0,0,0,14,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,94.4,1388.75,0,1
0,0,1,1,71,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,52.84,4069.36,0,0
0,0,0,0,14,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,86.44,1224.51,1,1
1,1,0,0,20,1,Yes,DSL,No,Yes,No,No,No,No,Two year,1,Bank transfer (automatic),33.7,731.77,0,2
1,0,1,1,63,1,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,0,Credit card (automatic),75.13,4855.85,0,0
0,0,0,0,6,0,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,1,Mailed check,53.4,347.59,0,2
1,1,1,0,51,1,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,1,Credit card (automatic),50.25,2536.73,1,2
1,0,0,1,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),52.15,947.03,0,0
0,0,1,1,45,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Electronic check,94.23,4652.93,1,0
0,0,1,0,37,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,92.96,3523.62,0,1
0,0,0,1,12,1,No,DSL,Yes,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),50.26,602.99,0,2
1,0,1,0,43,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,36.73,1431.43,0,1
0,0,0,0,21,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),35.99,744.64,1,0
1,0,0,0,70,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Credit card (automatic),64.79,4106.38,0,0
0,0,1,1,34,0,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Mailed check,80.56,2525.22,1,0
1,0,0,0,2,1,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,54.8,105.19,1,2
1,0,1,1,15,0,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),23.14,324.63,0,2
0,0,1,1,44,1,No,Fiber optic,Yes,No,No,Yes,No,No,One year,1,Credit card (automatic),64.38,2781.47,0,0
1,0,0,0,15,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,0,Mailed check,84.56,1306.27,1,2
1,0,1,1,65,0,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Credit card (automatic),76.09,4747.74,0,0
0,0,0,0,37,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,49.68,1835.0,0,1
1,0,0,1,23,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,69.14,1704.57,0,1
0,1,0,0,49,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,31.0,1634.0,0,1
1,0,0,0,56,1,Yes,Fiber optic,No,No,No,No,No,No,Two year,1,Mailed check,57.34,3327.56,0,0
0,1,1,0,55,1,Yes,Fiber optic,No,No,No,No,No,No,One year,0,Credit card (automatic),36.7,2089.8,1,0
0,0,0,0,65,0,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),101.91,6656.81,0,0
1,0,0,0,72,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,57.9,4412.21,0,2
0,0,1,0,61,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,0,Electronic check,66.33,3867.87,1,2
0,0,1,0,13,1,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),42.59,605.3,0,2
